iter	Passed	Remaining
0	32	9644
1	69	10191
2	103	10141
3	129	9464
4	154	8977
5	178	8643
6	205	8498
7	248	8947
8	274	8763
9	302	8644
10	327	8489
11	351	8315
12	376	8205
13	400	8060
14	424	7957
15	450	7882
16	473	7778
17	496	7672
18	520	7588
19	544	7515
20	570	7467
21	599	7464
22	646	7668
23	679	7695
24	734	7966
25	765	7951
26	794	7918
27	822	7870
28	848	7808
29	875	7763
30	903	7719
31	925	7638
32	948	7561
33	975	7513
34	1003	7480
35	1027	7424
36	1039	7273
37	1065	7234
38	1090	7189
39	1117	7149
40	1140	7091
41	1165	7046
42	1187	6988
43	1211	6936
44	1236	6895
45	1261	6857
46	1287	6822
47	1313	6785
48	1340	6758
49	1372	6751
50	1403	6742
51	1431	6718
52	1460	6696
53	1486	6659
54	1513	6631
55	1542	6612
56	1568	6577
57	1595	6545
58	1623	6520
59	1648	6483
60	1674	6449
61	1718	6485
62	1751	6476
63	1780	6453
64	1825	6486
65	1852	6455
66	1891	6463
67	1927	6463
68	1954	6431
69	1984	6406
70	2008	6365
71	2034	6328
72	2049	6261
73	2073	6221
74	2098	6182
75	2122	6143
76	2145	6103
77	2170	6066
78	2195	6031
79	2222	5999
80	2247	5966
81	2272	5930
82	2287	5870
83	2308	5825
84	2332	5790
85	2364	5774
86	2399	5765
87	2416	5712
88	2440	5675
89	2463	5638
90	2487	5603
91	2502	5548
92	2524	5511
93	2547	5473
94	2569	5436
95	2592	5400
96	2618	5372
97	2644	5342
98	2668	5309
99	2683	5259
100	2710	5233
101	2735	5202
102	2764	5180
103	2790	5152
104	2815	5122
105	2841	5093
106	2866	5063
107	2891	5032
108	2914	5000
109	2937	4967
110	2961	4935
111	2985	4904
112	3009	4874
113	3033	4842
114	3057	4812
115	3083	4784
116	3107	4754
117	3131	4723
118	3154	4692
119	3178	4661
120	3202	4631
121	3224	4599
122	3248	4569
123	3272	4539
124	3300	4514
125	3324	4485
126	3366	4480
127	3392	4452
128	3416	4422
129	3442	4396
130	3471	4372
131	3497	4345
132	3521	4316
133	3546	4288
134	3570	4257
135	3593	4227
136	3617	4198
137	3639	4167
138	3662	4136
139	3684	4105
140	3707	4075
141	3721	4035
142	3746	4008
143	3769	3979
144	3789	3946
145	3812	3916
146	3826	3878
147	3852	3852
148	3876	3824
149	3900	3796
150	3924	3768
151	3949	3741
152	3972	3712
153	3995	3684
154	4018	3655
155	4042	3627
156	4066	3600
157	4089	3571
158	4112	3543
159	4135	3515
160	4159	3488
161	4183	3460
162	4205	3431
163	4229	3404
164	4243	3369
165	4267	3341
166	4290	3313
167	4313	3286
168	4336	3258
169	4361	3232
170	4386	3206
171	4408	3178
172	4431	3150
173	4454	3123
174	4478	3096
175	4502	3069
176	4524	3042
177	4548	3015
178	4577	2991
179	4603	2966
180	4625	2938
181	4648	2911
182	4670	2883
183	4693	2856
184	4703	2821
185	4725	2794
186	4748	2767
187	4772	2741
188	4796	2715
189	4820	2689
190	4844	2663
191	4868	2637
192	4891	2610
193	4914	2584
194	4938	2557
195	4961	2531
196	4985	2505
197	5022	2485
198	5046	2460
199	5071	2434
200	5094	2407
201	5118	2381
202	5144	2356
203	5168	2331
204	5192	2304
205	5216	2279
206	5240	2253
207	5263	2226
208	5286	2200
209	5310	2174
210	5332	2148
211	5344	2117
212	5366	2091
213	5389	2065
214	5412	2039
215	5434	2012
216	5458	1987
217	5478	1960
218	5501	1934
219	5524	1908
220	5547	1882
221	5571	1857
222	5595	1831
223	5618	1805
224	5641	1780
225	5651	1750
226	5674	1724
227	5697	1699
228	5721	1673
229	5731	1644
230	5755	1619
231	5778	1594
232	5803	1569
233	5831	1545
234	5856	1520
235	5899	1499
236	5933	1477
237	5965	1453
238	5997	1430
239	6014	1403
240	6034	1377
241	6054	1350
242	6074	1324
243	6095	1299
244	6116	1273
245	6137	1247
246	6158	1221
247	6178	1195
248	6199	1170
249	6219	1144
250	6240	1118
251	6260	1093
252	6281	1067
253	6301	1042
254	6322	1016
255	6345	991
256	6367	966
257	6387	940
258	6408	915
259	6429	890
260	6449	864
261	6469	839
262	6489	814
263	6509	789
264	6529	763
265	6550	738
266	6573	714
267	6594	688
268	6614	663
269	6623	637
270	6644	612
271	6664	588
272	6684	563
273	6704	538
274	6725	513
275	6746	488
276	6768	464
277	6790	439
278	6811	415
279	6832	390
280	6854	365
281	6874	341
282	6895	316
283	6916	292
284	6937	267
285	6960	243
286	6982	218
287	7004	194
288	7024	170
289	7045	145
290	7066	121
291	7087	97
292	7107	72
293	7128	48
294	7149	24
295	7169	0
